the_month,POA_CODE21,class,kwh,nmi_count
2022-07-01,3885,Industrial,42207.61,1
2022-07-01,3885,Residential,545680.2725,905
2022-07-01,3886,Commercial,85915.82531,39
2022-07-01,3886,Residential,109704.804,174
2022-07-01,3887,Commercial,40311.1917,46
2022-07-01,3887,Industrial,10083.48,1
2022-07-01,3887,Residential,86930.415,142
2022-07-01,3888,Commercial,480083.2922,382
2022-07-01,3888,Industrial,210771.5,5
2022-07-01,3888,Residential,1198244.84181,2027
2022-07-01,3889,Commercial,52826.1484,56
2022-07-01,3889,Residential,59442.752,151
2022-07-01,3890,Commercial,90567.9348,79
2022-07-01,3890,Residential,86693.5,194
2022-07-01,3891,Commercial,20152.453700000002,21
2022-07-01,3891,Residential,17540.3297,55
2022-07-01,3892,Commercial,165478.6217,124
2022-07-01,3892,Industrial,28527.59,2
2022-07-01,3892,Residential,376745.3797,883
2022-07-01,3893,Commercial,3948.729,11
2022-07-01,3893,Residential,6086.788,13
2022-07-01,3895,Commercial,12162.9757,40
2022-07-01,3895,Residential,57085.561,123
2022-07-01,3896,Commercial,87171.6627,61
2022-07-01,3896,Industrial,70286.42,1
2022-07-01,3896,Residential,119146.545,210
2022-07-01,3898,Commercial,296878.2585,165
2022-07-01,3898,Industrial,34997.168000000005,2
2022-07-01,3898,Residential,1168672.0895,694
2022-07-01,3900,Commercial,23844.4987,48
2022-07-01,3900,Residential,62063.985,111
2022-07-01,3902,Commercial,51146.7593,25
2022-07-01,3902,Residential,124069.567,174
2022-07-01,3903,Commercial,74053.08169,45
2022-07-01,3903,Industrial,21091.26,1
2022-07-01,3903,Residential,256555.675,370
2022-07-01,3904,Commercial,114727.5319,118
2022-07-01,3904,Industrial,13409.952,1
2022-07-01,3904,Residential,778118.9022,1336
2022-07-01,3909,Commercial,988444.97783,625
2022-07-01,3909,Industrial,659458.27,16
2022-07-01,3909,Residential,3085933.79738,5000
2022-07-01,3912,Commercial,19300.662,12
2022-07-01,3912,Industrial,164432.46,1
2022-07-01,3912,Residential,32330.16,25
2022-07-01,3922,Commercial,1116666.3403,634
2022-07-01,3922,Industrial,572509.024,11
2022-07-01,3922,Residential,4600218.56552,10327
2022-07-01,3923,Commercial,108534.8999,43
2022-07-01,3923,Industrial,5527.95,1
2022-07-01,3923,Residential,320301.6038,621
2022-07-01,3925,Commercial,337841.9248,239
2022-07-01,3925,Industrial,257028.342,7
2022-07-01,3925,Residential,1621935.58201,3347
2022-07-01,3945,Commercial,185907.5397,159
2022-07-01,3945,Residential,387597.1865,503
2022-07-01,3946,Commercial,41445.864,48
2022-07-01,3946,Residential,111501.7169,160
