the_month,LGA_NAME23,class,kwh,nmi_count
2022-11-01,Indigo,Commercial,1441036.1637,1325
2022-11-01,Indigo,Industrial,3165793.2033,18
2022-11-01,Indigo,Residential,3160603.7854,7730
2022-11-01,Knox,Commercial,8373292.3592,6211
2022-11-01,Knox,Industrial,19845310.8246,287
2022-11-01,Knox,Residential,16634622.9018,53342
2022-11-01,Latrobe (Vic.),Commercial,5856474.1852,4097
2022-11-01,Latrobe (Vic.),Industrial,30972146.9359,175
2022-11-01,Latrobe (Vic.),Residential,12490942.2862,35874
2022-11-01,Macedon Ranges,Commercial,0.0,1
2022-11-01,Macedon Ranges,Residential,1561.8229999999999,3
2022-11-01,Manningham,Commercial,678290.3665,376
2022-11-01,Manningham,Industrial,95247.064,3
2022-11-01,Manningham,Residential,3017445.3417,5124
2022-11-01,Mansfield,Commercial,1124951.7194,955
2022-11-01,Mansfield,Industrial,486617.584,12
2022-11-01,Mansfield,Residential,2416946.1996,6426
2022-11-01,Maroondah,Commercial,6229488.1094,4741
2022-11-01,Maroondah,Industrial,15090489.334999999,211
2022-11-01,Maroondah,Residential,14639024.064,47189
2022-11-01,Mitchell,Commercial,2306498.9922,1797
2022-11-01,Mitchell,Industrial,4663255.6548,88
2022-11-01,Mitchell,Residential,7095329.5542,19967
2022-11-01,Moira,Commercial,24616.2567,68
2022-11-01,Moira,Industrial,28030.03,1
2022-11-01,Moira,Residential,91258.4629,198
2022-11-01,Murrindindi,Commercial,1733810.3849,1570
2022-11-01,Murrindindi,Industrial,900637.5407,27
2022-11-01,Murrindindi,Residential,3774901.4567,8215
2022-11-01,Nillumbik,Commercial,2617791.5729,1709
2022-11-01,Nillumbik,Industrial,3776235.6824000003,53
2022-11-01,Nillumbik,Residential,10240103.4541,22710
2022-11-01,Snowy Valleys,Residential,291.492,3
2022-11-01,South Gippsland,Commercial,4389975.2805,3453
2022-11-01,South Gippsland,Industrial,7968434.6965,57
2022-11-01,South Gippsland,Residential,7037380.3354,17125
2022-11-01,Strathbogie,Commercial,1267535.8188,1279
2022-11-01,Strathbogie,Industrial,888469.914,31
2022-11-01,Strathbogie,Residential,2093070.7898,5614
2022-11-01,Towong,Commercial,856633.7528,906
2022-11-01,Towong,Industrial,204294.504,8
2022-11-01,Towong,Residential,1282662.1999,3145
2022-11-01,Unincorporated Vic,Commercial,883586.1606,602
2022-11-01,Unincorporated Vic,Industrial,345458.645,17
2022-11-01,Unincorporated Vic,Residential,354261.0481,1589
2022-11-01,Wangaratta,Commercial,2769823.0179,2608
2022-11-01,Wangaratta,Industrial,6628321.992000001,70
2022-11-01,Wangaratta,Residential,4656643.8531,13843
2022-11-01,Wellington,Commercial,6407148.0335,4620
2022-11-01,Wellington,Industrial,6320388.623,113
2022-11-01,Wellington,Residential,7988382.6602,23498
2022-11-01,Whitehorse,Residential,5080.7198,17
2022-11-01,Whittlesea,Commercial,10614505.3997,6741
2022-11-01,Whittlesea,Industrial,28723265.7272,375
2022-11-01,Whittlesea,Residential,25244571.869,85856
2022-11-01,Wodonga,Commercial,2584295.3996,1879
2022-11-01,Wodonga,Industrial,13104268.5385,114
2022-11-01,Wodonga,Residential,5364355.6295,18819
2022-11-01,Yarra Ranges,Commercial,8494316.4642,6277
2022-11-01,Yarra Ranges,Industrial,11649648.6732,232
2022-11-01,Yarra Ranges,Residential,24338315.4109,61815
2022-12-01,Alpine,Commercial,2063796.2181,1555
2022-12-01,Alpine,Industrial,1884182.246,23
2022-12-01,Alpine,Residential,3123982.8673,7727
2022-12-01,Banyule,Commercial,1740167.5829,1402
2022-12-01,Banyule,Industrial,3384570.768,58
2022-12-01,Banyule,Residential,7956577.8742,22977
2022-12-01,Bass Coast,Commercial,3419312.0822,2397
